, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
100,100,98,97,99,100,93,95,98,93,96
200,92,92,90,83,83,87,89,81,82,88
300,61,74,71,68,75,72,69,70,78,68
400,76,80,66,66,71,66,73,60,66,71
500,68,71,64,62,63,57,66,59,58,62
600,61,48,53,55,52,53,51,59,59,55
700,54,47,46,51,49,50,57,40,42,45
800,50,52,50,44,50,54,45,57,39,38
900,46,47,37,44,38,39,43,38,42,40
1000,46,43,39,41,35,36,35,33,31,26
1100,42,41,33,39,34,35,26,34,36,34
1200,38,36,36,28,33,29,34,30,33,21
1300,32,27,26,28,36,36,30,31,26,22
1400,35,34,23,32,19,34,22,28,28,14
1500,21,30,21,33,34,32,31,24,17,17
1600,23,28,28,28,34,23,24,30,21,25
1700,26,28,24,24,27,17,16,21,27,21
1800,32,21,19,16,17,20,27,15,16,22
1900,23,17,22,24,17,17,25,16,18,19
2000,22,17,14,21,19,16,14,25,16,22
